,title,view_count,like_count,duration,title_length,giveaway
315,CUTTING TABLE IN HALF WITH PLASTIC KNIVES,3625935,164356,245.0,41,0
316,BEST INTROS ON YOUTUBE #1,27063406,795923,339.0,25,0
317,Motivation For Youtubers #6 LAST ONE,108833,4884,179.0,36,0
318,How Many Licks Does It Take To Get To The Center Of A Tootsie Pop?,349978,11373,757.0,66,0
319,Motivation For Youtubers #5,135640,7112,148.0,27,0
320,18th Birthday QNA - Mom's Hair Dryer Age?,303416,13035,249.0,41,0
321,WORST MEMES AND TRENDS ON YOUTUBE!,610253,12270,241.0,34,0
322,Cereal Commentary,101405,3958,339.0,17,0
323,WHERE IS MY COOKIE?????,72331,7036,162.0,23,0
324,"How Much Money Do Big Youtubers Make? (Pewdiepie, Markiplier, etc)",83277,3744,228.0,66,0
325,Struggles Of Being A Youtuber,89783,3829,194.0,29,0
326,Reenacting Youtubers,133063,5966,221.0,20,0
327,Life Before And After Gamma (Insane) @GFuelEnergy,30795,1343,179.0,49,0
328,Worst Thumbnails On Youtube #2 - Cringe,258719,9628,149.0,39,0
329,Motivation For Small Youtubers #4 - Inspiration For Youtubers,105403,5918,190.0,61,0
330,Scheduled Uploaded 6 Months Ago (REACTION),107101,4247,324.0,42,0
331,Dude Perfect 3.0 - We Are Better,647434,20578,193.0,32,0
332,Dear Future Me (Scheduled Uploaded 6 Months Ago),1930962,121976,145.0,48,0
333,$100 GIVEAWAY PRANK (NO WEAPONS INVOLVED),43105,1337,291.0,41,1
334,GIVING AWAY $100 ITUNES GIFT CARDS,87828,3050,130.0,34,1
335,Walking Dead Daryl DIED (Fan Reaction To Death),113674,2872,43.0,47,0
336,Why Do Youtubers Ask For Likes?,150673,11008,206.0,31,0
337,Making My Background More Epic,35490,1742,208.0,30,0
338,Doing Youtube For Fun Or Views?,35955,1808,225.0,31,0
339,Pranks That Went Horribly Wrong,2016509,88933,274.0,31,0
340,Who Founded Faze? Who Created Faze Clan?,1995495,72686,325.0,40,0
341,Subscriber Goals For 2017,54653,2226,234.0,25,0
342,"20,000",118107,4394,256.0,6,0
343,The Dreaded Unanswerable Question,78979,2807,270.0,33,0
344,WORST THUMBNAILS ON YOUTUBE,526790,22808,175.0,27,0
345,Beast Goes Camping (Didn't Go Wrong) (Didn't Go Sexual),101814,3210,285.0,55,0
346,NBA Interviews Gone Wrong (No Gun Pulled),40818,1492,154.0,41,0
347,Movie Trailers Be Like,72576,3571,102.0,22,0
348,What Is Youtube Red? Should I Buy Youtube Red?,75395,3131,279.0,46,0
349,Things I Hate #2 - Youtube Edition,139713,6756,268.0,34,0
350,Super Bowl Commercial 2016 Cost - How Much Does A Commercial Cost In 2016 Super Bowl?,65092,2021,177.0,85,0
351,Counting To 10000 In One Sitting,57156072,683546,12581.0,32,0
